,ADM1_EN,Ratio
1, Hokkaido,1.40%
2, Aomori,0.20%
3, Iwate,0.30%
4, Miyagi,0.80%
5, Akita,0.10%
6, Yamagata,0.30%
7, Fukushima,0.60%
8, Ibaraki,2.50%
9, Tochigi,1.70%
10, Gunma,2.70%
11, Saitama,5.00%
12, Chiba,3.90%
13, Tokyo,28.10%
14, Kanagawa,5.80%
15, Niigata,0.60%
16, Toyama,0.70%
17, Ishikawa,0.60%
18, Fukui,0.60%
19, Yamanashi,0.50%
20, Nagano,1.20%
21, Gifu,2.00%
22, Shizuoka,3.90%
23, Aichi,10.30%
24, Mie,1.80%
25, Shiga,1.20%
26, Kyoto,1.20%
27, Osaka,6.50%
28, Hyōgo,2.60%
29, Nara,0.40%
30, Wakayama,0.20%
31, Tottori,0.20%
32, Shimane,0.30%
33, Okayama,1.20%
34, Hiroshima,2.10%
35, Yamaguchi,0.50%
36, Tokushima,0.30%
37, Kagawa,0.60%
38, Ehime,0.60%
39, Kōchi,0.20%
40, Fukuoka,3.10%
41, Saga,0.30%
42, Nagasaki,0.30%
43, Kumamoto,0.80%
44, Ōita,0.40%
45, Miyazaki,0.30%
46, Kagoshima,0.50%
47, Okinawa,0.60%
